"code","name","level2_code","level2_name","level1_code","level1_name"
"ABT","Alberta",71,"Western Canada",7,"NORTHERN AMERICA"
"AFG","Afghanistan",34,"Western Asia",3,"ASIA-TEMPERATE"
"AGE","Argentina Northeast",85,"Southern South America",8,"SOUTHERN AMERICA"
"AGS","Argentina South",85,"Southern South America",8,"SOUTHERN AMERICA"
"AGW","Argentina Northwest",85,"Southern South America",8,"SOUTHERN AMERICA"
"ALA","Alabama",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"ALB","Albania",13,"Southeastern Europe",1,"EUROPE"
"ALD","Aldabra",29,"Western Indian Ocean",2,"AFRICA"
"ALG","Algeria",20,"Northern Africa",2,"AFRICA"
"ALT","Altay",30,"Siberia",3,"ASIA-TEMPERATE"
"ALU","Aleutian Is.",70,"Subarctic America",7,"NORTHERN AMERICA"
"AMU","Amur",31,"Russian Far East",3,"ASIA-TEMPERATE"
"AND","Andaman Is.",41,"Indo-China",4,"ASIA-TROPICAL"
"ANG","Angola",26,"South Tropical Africa",2,"AFRICA"
"ANT","Antarctica",91,"Antarctic Continent",9,"ANTARCTIC"
"ARI","Arizona",76,"Southwestern U.S.A.",7,"NORTHERN AMERICA"
"ARK","Arkansas",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"ARU","Aruba",81,"Caribbean",8,"SOUTHERN AMERICA"
"ASC","Ascension",28,"Middle Atlantic Ocean",2,"AFRICA"
"ASK","Alaska",70,"Subarctic America",7,"NORTHERN AMERICA"
"ASP","Amsterdam-St.Paul Is.",90,"Subantarctic Islands",9,"ANTARCTIC"
"ASS","Assam",40,"Indian Subcontinent",4,"ASIA-TROPICAL"
"ATP","Antipodean Is.",51,"New Zealand",5,"AUSTRALASIA"
"AUT","Austria",11,"Middle Europe",1,"EUROPE"
"AZO","Azores",21,"Macaronesia",2,"AFRICA"
"BAH","Bahamas",81,"Caribbean",8,"SOUTHERN AMERICA"
"BAL","Baleares",12,"Southwestern Europe",1,"EUROPE"
"BAN","Bangladesh",40,"Indian Subcontinent",4,"ASIA-TROPICAL"
"BEN","Benin",22,"West Tropical Africa",2,"AFRICA"
"BER","Bermuda",81,"Caribbean",8,"SOUTHERN AMERICA"
"BGM","Belgium",11,"Middle Europe",1,"EUROPE"
"BIS","Bismarck Archipelago",43,"Papuasia",4,"ASIA-TROPICAL"
"BKN","Burkina",22,"West Tropical Africa",2,"AFRICA"
"BLR","Belarus",14,"Eastern Europe",1,"EUROPE"
"BLT","Baltic States",14,"Eastern Europe",1,"EUROPE"
"BLZ","Belize",80,"Central America",8,"SOUTHERN AMERICA"
"BOL","Bolivia",83,"Western South America",8,"SOUTHERN AMERICA"
"BOR","Borneo",42,"Malesia",4,"ASIA-TROPICAL"
"BOT","Botswana",27,"Southern Africa",2,"AFRICA"
"BOU","Bouvet I.",90,"Subantarctic Islands",9,"ANTARCTIC"
"BRC","British Columbia",71,"Western Canada",7,"NORTHERN AMERICA"
"BRY","Buryatiya",30,"Siberia",3,"ASIA-TEMPERATE"
"BUL","Bulgaria",13,"Southeastern Europe",1,"EUROPE"
"BUR","Burundi",23,"West-Central Tropical Africa",2,"AFRICA"
"BZC","Brazil West-Central",84,"Brazil",8,"SOUTHERN AMERICA"
"BZE","Brazil Northeast",84,"Brazil",8,"SOUTHERN AMERICA"
"BZL","Brazil Southeast",84,"Brazil",8,"SOUTHERN AMERICA"
"BZN","Brazil North",84,"Brazil",8,"SOUTHERN AMERICA"
"BZS","Brazil South",84,"Brazil",8,"SOUTHERN AMERICA"
"CAB","Cabinda",23,"West-Central Tropical Africa",2,"AFRICA"
"CAF","Central African Republic",23,"West-Central Tropical Africa",2,"AFRICA"
"CAL","California",76,"Southwestern U.S.A.",7,"NORTHERN AMERICA"
"CAY","Cayman Is.",81,"Caribbean",8,"SOUTHERN AMERICA"
"CBD","Cambodia",41,"Indo-China",4,"ASIA-TROPICAL"
"CGS","Chagos Archipelago",29,"Western Indian Ocean",2,"AFRICA"
"CHA","Chad",24,"Northeast Tropical Africa",2,"AFRICA"
"CHC","China South-Central",36,"China",3,"ASIA-TEMPERATE"
"CHH","Hainan",36,"China",3,"ASIA-TEMPERATE"
"CHI","Inner Mongolia",36,"China",3,"ASIA-TEMPERATE"
"CHM","Manchuria",36,"China",3,"ASIA-TEMPERATE"
"CHN","China North-Central",36,"China",3,"ASIA-TEMPERATE"
"CHQ","Qinghai",36,"China",3,"ASIA-TEMPERATE"
"CHS","China Southeast",36,"China",3,"ASIA-TEMPERATE"
"CHT","Tibet",36,"China",3,"ASIA-TEMPERATE"
"CHX","Xinjiang",36,"China",3,"ASIA-TEMPERATE"
"CKI","Cocos (Keeling) I.",42,"Malesia",4,"ASIA-TROPICAL"
"CLC","Chile Central",85,"Southern South America",8,"SOUTHERN AMERICA"
"CLM","Colombia",83,"Western South America",8,"SOUTHERN AMERICA"
"CLN","Chile North",85,"Southern South America",8,"SOUTHERN AMERICA"
"CLS","Chile South",85,"Southern South America",8,"SOUTHERN AMERICA"
"CMN","Cameroon",23,"West-Central Tropical Africa",2,"AFRICA"
"CNT","Connecticut",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"CNY","Canary Is.",21,"Macaronesia",2,"AFRICA"
"COL","Colorado",73,"Northwestern U.S.A.",7,"NORTHERN AMERICA"
"COM","Comoros",29,"Western Indian Ocean",2,"AFRICA"
"CON","Congo",23,"West-Central Tropical Africa",2,"AFRICA"
"COO","Cook Is.",61,"South-Central Pacific",6,"PACIFIC"
"COR","Corse",12,"Southwestern Europe",1,"EUROPE"
"COS","Costa Rica",80,"Central America",8,"SOUTHERN AMERICA"
"CPI","C. American Pacific Is.",80,"Central America",8,"SOUTHERN AMERICA"
"CPP","Cape Provinces",27,"Southern Africa",2,"AFRICA"
"CPV","Caprivi Strip",27,"Southern Africa",2,"AFRICA"
"CRL","Caroline Is.",62,"Northwestern Pacific",6,"PACIFIC"
"CRZ","Crozet Is.",90,"Subantarctic Islands",9,"ANTARCTIC"
"CTA","Chita",30,"Siberia",3,"ASIA-TEMPERATE"
"CTM","Chatham Is.",51,"New Zealand",5,"AUSTRALASIA"
"CUB","Cuba",81,"Caribbean",8,"SOUTHERN AMERICA"
"CVI","Cape Verde",21,"Macaronesia",2,"AFRICA"
"CYP","Cyprus",34,"Western Asia",3,"ASIA-TEMPERATE"
"CZE","Czechoslovakia",11,"Middle Europe",1,"EUROPE"
"DEL","Delaware",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"DEN","Denmark",10,"Northern Europe",1,"EUROPE"
"DJI","Djibouti",24,"Northeast Tropical Africa",2,"AFRICA"
"DOM","Dominican Republic",81,"Caribbean",8,"SOUTHERN AMERICA"
"DSV","Desventurados Is.",85,"Southern South America",8,"SOUTHERN AMERICA"
"EAI","East Aegean Is.",34,"Western Asia",3,"ASIA-TEMPERATE"
"EAS","Easter Is.",61,"South-Central Pacific",6,"PACIFIC"
"ECU","Ecuador",83,"Western South America",8,"SOUTHERN AMERICA"
"EGY","Egypt",20,"Northern Africa",2,"AFRICA"
"EHM","East Himalaya",40,"Indian Subcontinent",4,"ASIA-TROPICAL"
"ELS","El Salvador",80,"Central America",8,"SOUTHERN AMERICA"
"EQG","Equatorial Guinea",23,"West-Central Tropical Africa",2,"AFRICA"
"ERI","Eritrea",24,"Northeast Tropical Africa",2,"AFRICA"
"ETH","Ethiopia",24,"Northeast Tropical Africa",2,"AFRICA"
"FAL","Falkland Is.",90,"Subantarctic Islands",9,"ANTARCTIC"
"FIJ","Fiji",60,"Southwestern Pacific",6,"PACIFIC"
"FIN","Finland",10,"Northern Europe",1,"EUROPE"
"FLA","Florida",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"FOR","Føroyar",10,"Northern Europe",1,"EUROPE"
"FRA","France",12,"Southwestern Europe",1,"EUROPE"
"FRG","French Guiana",82,"Northern South America",8,"SOUTHERN AMERICA"
"GAB","Gabon",23,"West-Central Tropical Africa",2,"AFRICA"
"GAL","Galápagos",83,"Western South America",8,"SOUTHERN AMERICA"
"GAM","Gambia, The",22,"West Tropical Africa",2,"AFRICA"
"GEO","Georgia",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"GER","Germany",11,"Middle Europe",1,"EUROPE"
"GGI","Gulf of Guinea Is.",23,"West-Central Tropical Africa",2,"AFRICA"
"GHA","Ghana",22,"West Tropical Africa",2,"AFRICA"
"GIL","Gilbert Is.",60,"Southwestern Pacific",6,"PACIFIC"
"GNB","Guinea-Bissau",22,"West Tropical Africa",2,"AFRICA"
"GNL","Greenland",70,"Subarctic America",7,"NORTHERN AMERICA"
"GRB","Great Britain",10,"Northern Europe",1,"EUROPE"
"GRC","Greece",13,"Southeastern Europe",1,"EUROPE"
"GST","Gulf States",35,"Arabian Peninsula",3,"ASIA-TEMPERATE"
"GUA","Guatemala",80,"Central America",8,"SOUTHERN AMERICA"
"GUI","Guinea",22,"West Tropical Africa",2,"AFRICA"
"GUY","Guyana",82,"Northern South America",8,"SOUTHERN AMERICA"
"HAI","Haiti",81,"Caribbean",8,"SOUTHERN AMERICA"
"HAW","Hawaii",63,"North-Central Pacific",6,"PACIFIC"
"HBI","Howland-Baker Is.",60,"Southwestern Pacific",6,"PACIFIC"
"HMD","Heard-McDonald Is.",90,"Subantarctic Islands",9,"ANTARCTIC"
"HON","Honduras",80,"Central America",8,"SOUTHERN AMERICA"
"HUN","Hungary",11,"Middle Europe",1,"EUROPE"
"ICE","Iceland",10,"Northern Europe",1,"EUROPE"
"IDA","Idaho",73,"Northwestern U.S.A.",7,"NORTHERN AMERICA"
"ILL","Illinois",74,"North-Central U.S.A.",7,"NORTHERN AMERICA"
"IND","India",40,"Indian Subcontinent",4,"ASIA-TROPICAL"
"INI","Indiana",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"IOW","Iowa",74,"North-Central U.S.A.",7,"NORTHERN AMERICA"
"IRE","Ireland",10,"Northern Europe",1,"EUROPE"
"IRK","Irkutsk",30,"Siberia",3,"ASIA-TEMPERATE"
"IRN","Iran",34,"Western Asia",3,"ASIA-TEMPERATE"
"IRQ","Iraq",34,"Western Asia",3,"ASIA-TEMPERATE"
"ITA","Italy",13,"Southeastern Europe",1,"EUROPE"
"IVO","Ivory Coast",22,"West Tropical Africa",2,"AFRICA"
"JAM","Jamaica",81,"Caribbean",8,"SOUTHERN AMERICA"
"JAP","Japan",38,"Eastern Asia",3,"ASIA-TEMPERATE"
"JAW","Jawa",42,"Malesia",4,"ASIA-TROPICAL"
"JNF","Juan Fernández Is.",85,"Southern South America",8,"SOUTHERN AMERICA"
"KAM","Kamchatka",31,"Russian Far East",3,"ASIA-TEMPERATE"
"KAN","Kansas",74,"North-Central U.S.A.",7,"NORTHERN AMERICA"
"KAZ","Kazakhstan",32,"Middle Asia",3,"ASIA-TEMPERATE"
"KEG","Kerguelen",90,"Subantarctic Islands",9,"ANTARCTIC"
"KEN","Kenya",25,"East Tropical Africa",2,"AFRICA"
"KER","Kermadec Is.",51,"New Zealand",5,"AUSTRALASIA"
"KGZ","Kirgizistan",32,"Middle Asia",3,"ASIA-TEMPERATE"
"KHA","Khabarovsk",31,"Russian Far East",3,"ASIA-TEMPERATE"
"KOR","Korea",38,"Eastern Asia",3,"ASIA-TEMPERATE"
"KRA","Krasnoyarsk",30,"Siberia",3,"ASIA-TEMPERATE"
"KRI","Kriti",13,"Southeastern Europe",1,"EUROPE"
"KRY","Krym",14,"Eastern Europe",1,"EUROPE"
"KTY","Kentucky",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"KUR","Kuril Is.",31,"Russian Far East",3,"ASIA-TEMPERATE"
"KUW","Kuwait",35,"Arabian Peninsula",3,"ASIA-TEMPERATE"
"KZN","Kazan-retto",38,"Eastern Asia",3,"ASIA-TEMPERATE"
"LAB","Labrador",72,"Eastern Canada",7,"NORTHERN AMERICA"
"LAO","Laos",41,"Indo-China",4,"ASIA-TROPICAL"
"LBR","Liberia",22,"West Tropical Africa",2,"AFRICA"
"LBS","Lebanon-Syria",34,"Western Asia",3,"ASIA-TEMPERATE"
"LBY","Libya",20,"Northern Africa",2,"AFRICA"
"LDV","Laccadive Is.",40,"Indian Subcontinent",4,"ASIA-TROPICAL"
"LEE","Leeward Is. AB Ant",81,"Caribbean",8,"SOUTHERN AMERICA"
"LES","Lesotho",27,"Southern Africa",2,"AFRICA"
"LIN","Line Is.",61,"South-Central Pacific",6,"PACIFIC"
"LOU","Louisiana",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"LSI","Lesser Sunda Is.",42,"Malesia",4,"ASIA-TROPICAL"
"MAG","Magadan",31,"Russian Far East",3,"ASIA-TEMPERATE"
"MAI","Maine",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"MAN","Manitoba",71,"Western Canada",7,"NORTHERN AMERICA"
"MAQ","Macquarie Is.",90,"Subantarctic Islands",9,"ANTARCTIC"
"MAS","Massachusetts",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"MAU","Mauritius",29,"Western Indian Ocean",2,"AFRICA"
"MCI","Mozambique Channel Is.",29,"Western Indian Ocean",2,"AFRICA"
"MCS","Marcus I.",62,"Northwestern Pacific",6,"PACIFIC"
"MDG","Madagascar",29,"Western Indian Ocean",2,"AFRICA"
"MDR","Madeira",21,"Macaronesia",2,"AFRICA"
"MDV","Maldives",40,"Indian Subcontinent",4,"ASIA-TROPICAL"
"MIC","Michigan",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"MIN","Minnesota",74,"North-Central U.S.A.",7,"NORTHERN AMERICA"
"MLI","Mali",22,"West Tropical Africa",2,"AFRICA"
"MLW","Malawi",26,"South Tropical Africa",2,"AFRICA"
"MLY","Malaya",42,"Malesia",4,"ASIA-TROPICAL"
"MNT","Montana",73,"Northwestern U.S.A.",7,"NORTHERN AMERICA"
"MOL","Maluku",42,"Malesia",4,"ASIA-TROPICAL"
"MON","Mongolia",37,"Mongolia",3,"ASIA-TEMPERATE"
"MOR","Morocco",20,"Northern Africa",2,"AFRICA"
"MOZ","Mozambique",26,"South Tropical Africa",2,"AFRICA"
"MPE","Marion-Prince Edward Is.",90,"Subantarctic Islands",9,"ANTARCTIC"
"MRN","Marianas",62,"Northwestern Pacific",6,"PACIFIC"
"MRQ","Marquesas",61,"South-Central Pacific",6,"PACIFIC"
"MRS","Marshall Is.",62,"Northwestern Pacific",6,"PACIFIC"
"MRY","Maryland",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"MSI","Mississippi",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"MSO","Missouri",74,"North-Central U.S.A.",7,"NORTHERN AMERICA"
"MTN","Mauritania",22,"West Tropical Africa",2,"AFRICA"
"MXC","Mexico Central",79,"Mexico",7,"NORTHERN AMERICA"
"MXE","Mexico Northeast",79,"Mexico",7,"NORTHERN AMERICA"
"MXG","Mexico Gulf",79,"Mexico",7,"NORTHERN AMERICA"
"MXI","Mexican Pacific Is.",79,"Mexico",7,"NORTHERN AMERICA"
"MXN","Mexico Northwest",79,"Mexico",7,"NORTHERN AMERICA"
"MXS","Mexico Southwest",79,"Mexico",7,"NORTHERN AMERICA"
"MXT","Mexico Southeast",79,"Mexico",7,"NORTHERN AMERICA"
"MYA","Myanmar",41,"Indo-China",4,"ASIA-TROPICAL"
"NAM","Namibia",27,"Southern Africa",2,"AFRICA"
"NAT","KwaZulu-Natal",27,"Southern Africa",2,"AFRICA"
"NBR","New Brunswick",72,"Eastern Canada",7,"NORTHERN AMERICA"
"NCA","North Carolina",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"NCB","Nicobar Is.",41,"Indo-China",4,"ASIA-TROPICAL"
"NCS","North Caucasus",33,"Caucasus",3,"ASIA-TEMPERATE"
"NDA","North Dakota",74,"North-Central U.S.A.",7,"NORTHERN AMERICA"
"NEB","Nebraska",74,"North-Central U.S.A.",7,"NORTHERN AMERICA"
"NEP","Nepal",40,"Indian Subcontinent",4,"ASIA-TROPICAL"
"NET","Netherlands",11,"Middle Europe",1,"EUROPE"
"NEV","Nevada",76,"Southwestern U.S.A.",7,"NORTHERN AMERICA"
"NFK","Norfolk Is.",50,"Australia",5,"AUSTRALASIA"
"NFL","Newfoundland",72,"Eastern Canada",7,"NORTHERN AMERICA"
"NGA","Nigeria",22,"West Tropical Africa",2,"AFRICA"
"NGR","Niger",22,"West Tropical Africa",2,"AFRICA"
"NIC","Nicaragua",80,"Central America",8,"SOUTHERN AMERICA"
"NLA","Netherlands Antilles",81,"Caribbean",8,"SOUTHERN AMERICA"
"NNS","Nansei-shoto",38,"Eastern Asia",3,"ASIA-TEMPERATE"
"NOR","Norway",10,"Northern Europe",1,"EUROPE"
"NRU","Nauru",60,"Southwestern Pacific",6,"PACIFIC"
"NSC","Nova Scotia",72,"Eastern Canada",7,"NORTHERN AMERICA"
"NSW","New South Wales",50,"Australia",5,"AUSTRALASIA"
"NTA","Northern Territory",50,"Australia",5,"AUSTRALASIA"
"NUE","Niue",60,"Southwestern Pacific",6,"PACIFIC"
"NUN","Nunavut",70,"Subarctic America",7,"NORTHERN AMERICA"
"NWC","New Caledonia",60,"Southwestern Pacific",6,"PACIFIC"
"NWG","New Guinea",43,"Papuasia",4,"ASIA-TROPICAL"
"NWH","New Hampshire",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"NWJ","New Jersey",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"NWM","New Mexico",77,"South-Central U.S.A.",7,"NORTHERN AMERICA"
"NWT","Northwest Territories",70,"Subarctic America",7,"NORTHERN AMERICA"
"NWY","New York",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"NZN","New Zealand North",51,"New Zealand",5,"AUSTRALASIA"
"NZS","New Zealand South",51,"New Zealand",5,"AUSTRALASIA"
"OFS","Free State",27,"Southern Africa",2,"AFRICA"
"OGA","Ogasawara-shoto",38,"Eastern Asia",3,"ASIA-TEMPERATE"
"OHI","Ohio",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"OKL","Oklahoma",74,"North-Central U.S.A.",7,"NORTHERN AMERICA"
"OMA","Oman",35,"Arabian Peninsula",3,"ASIA-TEMPERATE"
"ONT","Ontario",72,"Eastern Canada",7,"NORTHERN AMERICA"
"ORE","Oregon",73,"Northwestern U.S.A.",7,"NORTHERN AMERICA"
"PAK","Pakistan",40,"Indian Subcontinent",4,"ASIA-TROPICAL"
"PAL","Palestine",34,"Western Asia",3,"ASIA-TEMPERATE"
"PAN","Panama",80,"Central America",8,"SOUTHERN AMERICA"
"PAR","Paraguay",85,"Southern South America",8,"SOUTHERN AMERICA"
"PEI","Prince Edward I.",72,"Eastern Canada",7,"NORTHERN AMERICA"
"PEN","Pennsylvania",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"PER","Peru",83,"Western South America",8,"SOUTHERN AMERICA"
"PHI","Philippines",42,"Malesia",4,"ASIA-TROPICAL"
"PHX","Phoenix Is.",60,"Southwestern Pacific",6,"PACIFIC"
"PIT","Pitcairn Is.",61,"South-Central Pacific",6,"PACIFIC"
"POL","Poland",11,"Middle Europe",1,"EUROPE"
"POR","Portugal",12,"Southwestern Europe",1,"EUROPE"
"PRM","Primorye",31,"Russian Far East",3,"ASIA-TEMPERATE"
"PUE","Puerto Rico",81,"Caribbean",8,"SOUTHERN AMERICA"
"QLD","Queensland",50,"Australia",5,"AUSTRALASIA"
"QUE","Québec",72,"Eastern Canada",7,"NORTHERN AMERICA"
"REU","Réunion",29,"Western Indian Ocean",2,"AFRICA"
"RHO","Rhode I.",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"ROD","Rodrigues",29,"Western Indian Ocean",2,"AFRICA"
"ROM","Romania",13,"Southeastern Europe",1,"EUROPE"
"RUC","Central European Russia",14,"Eastern Europe",1,"EUROPE"
"RUE","East European Russia",14,"Eastern Europe",1,"EUROPE"
"RUN","North European Russia",14,"Eastern Europe",1,"EUROPE"
"RUS","South European Russia",14,"Eastern Europe",1,"EUROPE"
"RUW","Northwest European Russia",14,"Eastern Europe",1,"EUROPE"
"RWA","Rwanda",23,"West-Central Tropical Africa",2,"AFRICA"
"SAK","Sakhalin",31,"Russian Far East",3,"ASIA-TEMPERATE"
"SAM","Samoa",60,"Southwestern Pacific",6,"PACIFIC"
"SAR","Sardegna",12,"Southwestern Europe",1,"EUROPE"
"SAS","Saskatchewan",71,"Western Canada",7,"NORTHERN AMERICA"
"SAU","Saudi Arabia",35,"Arabian Peninsula",3,"ASIA-TEMPERATE"
"SCA","South Carolina",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"SCI","Society Is.",61,"South-Central Pacific",6,"PACIFIC"
"SCS","South China Sea",41,"Indo-China",4,"ASIA-TROPICAL"
"SCZ","Santa Cruz Is.",60,"Southwestern Pacific",6,"PACIFIC"
"SDA","South Dakota",74,"North-Central U.S.A.",7,"NORTHERN AMERICA"
"SEL","Selvagens",21,"Macaronesia",2,"AFRICA"
"SEN","Senegal",22,"West Tropical Africa",2,"AFRICA"
"SEY","Seychelles",29,"Western Indian Ocean",2,"AFRICA"
"SGE","South Georgia",90,"Subantarctic Islands",9,"ANTARCTIC"
"SIC","Sicilia",13,"Southeastern Europe",1,"EUROPE"
"SIE","Sierra Leone",22,"West Tropical Africa",2,"AFRICA"
"SIN","Sinai",34,"Western Asia",3,"ASIA-TEMPERATE"
"SOA","South Australia",50,"Australia",5,"AUSTRALASIA"
"SOC","Socotra",24,"Northeast Tropical Africa",2,"AFRICA"
"SOL","Solomon Is.",43,"Papuasia",4,"ASIA-TROPICAL"
"SOM","Somalia",24,"Northeast Tropical Africa",2,"AFRICA"
"SPA","Spain",12,"Southwestern Europe",1,"EUROPE"
"SRL","Sri Lanka",40,"Indian Subcontinent",4,"ASIA-TROPICAL"
"SSA","South Sandwich Is.",90,"Subantarctic Islands",9,"ANTARCTIC"
"STH","St.Helena",28,"Middle Atlantic Ocean",2,"AFRICA"
"SUD","Sudan",24,"Northeast Tropical Africa",2,"AFRICA"
"SUL","Sulawesi",42,"Malesia",4,"ASIA-TROPICAL"
"SUM","Sumatera",42,"Malesia",4,"ASIA-TROPICAL"
"SUR","Surinam",82,"Northern South America",8,"SOUTHERN AMERICA"
"SVA","Svalbard",10,"Northern Europe",1,"EUROPE"
"SWC","Southwest Caribbean",81,"Caribbean",8,"SOUTHERN AMERICA"
"SWE","Sweden",10,"Northern Europe",1,"EUROPE"
"SWI","Switzerland",11,"Middle Europe",1,"EUROPE"
"SWZ","Swaziland",27,"Southern Africa",2,"AFRICA"
"TAI","Taiwan",38,"Eastern Asia",3,"ASIA-TEMPERATE"
"TAN","Tanzania",25,"East Tropical Africa",2,"AFRICA"
"TAS","Tasmania",50,"Australia",5,"AUSTRALASIA"
"TCI","Turks-Caicos Is.",81,"Caribbean",8,"SOUTHERN AMERICA"
"TCS","Transcaucasus",33,"Caucasus",3,"ASIA-TEMPERATE"
"TDC","Tristan da Cunha",90,"Subantarctic Islands",9,"ANTARCTIC"
"TEN","Tennessee",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"TEX","Texas",77,"South-Central U.S.A.",7,"NORTHERN AMERICA"
"THA","Thailand",41,"Indo-China",4,"ASIA-TROPICAL"
"TKM","Turkmenistan",32,"Middle Asia",3,"ASIA-TEMPERATE"
"TOG","Togo",22,"West Tropical Africa",2,"AFRICA"
"TOK","Tokelau-Manihiki",60,"Southwestern Pacific",6,"PACIFIC"
"TON","Tonga",60,"Southwestern Pacific",6,"PACIFIC"
"TRT","Trinidad-Tobago",81,"Caribbean",8,"SOUTHERN AMERICA"
"TUA","Tuamotu",61,"South-Central Pacific",6,"PACIFIC"
"TUB","Tubuai Is.",61,"South-Central Pacific",6,"PACIFIC"
"TUE","Turkey-in-Europe",13,"Southeastern Europe",1,"EUROPE"
"TUN","Tunisia",20,"Northern Africa",2,"AFRICA"
"TUR","Turkey",34,"Western Asia",3,"ASIA-TEMPERATE"
"TUV","Tuvalu",60,"Southwestern Pacific",6,"PACIFIC"
"TVA","Tuva",30,"Siberia",3,"ASIA-TEMPERATE"
"TVL","Northern Provinces",27,"Southern Africa",2,"AFRICA"
"TZK","Tadzhikistan",32,"Middle Asia",3,"ASIA-TEMPERATE"
"UGA","Uganda",25,"East Tropical Africa",2,"AFRICA"
"UKR","Ukraine",14,"Eastern Europe",1,"EUROPE"
"URU","Uruguay",85,"Southern South America",8,"SOUTHERN AMERICA"
"UTA","Utah",76,"Southwestern U.S.A.",7,"NORTHERN AMERICA"
"UZB","Uzbekistan",32,"Middle Asia",3,"ASIA-TEMPERATE"
"VAN","Vanuatu",60,"Southwestern Pacific",6,"PACIFIC"
"VEN","Venezuela",82,"Northern South America",8,"SOUTHERN AMERICA"
"VER","Vermont",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"VIC","Victoria",50,"Australia",5,"AUSTRALASIA"
"VIE","Vietnam",41,"Indo-China",4,"ASIA-TROPICAL"
"VNA","Venezuelan Antilles",81,"Caribbean",8,"SOUTHERN AMERICA"
"VRG","Virginia",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"WAK","Wake I.",62,"Northwestern Pacific",6,"PACIFIC"
"WAL","Wallis-Futuna Is.",60,"Southwestern Pacific",6,"PACIFIC"
"WAS","Washington",73,"Northwestern U.S.A.",7,"NORTHERN AMERICA"
"WAU","Western Australia",50,"Australia",5,"AUSTRALASIA"
"WDC","District of Columbia",78,"Southeastern U.S.A.",7,"NORTHERN AMERICA"
"WHM","West Himalaya",40,"Indian Subcontinent",4,"ASIA-TROPICAL"
"WIN","Windward Is.",81,"Caribbean",8,"SOUTHERN AMERICA"
"WIS","Wisconsin",74,"North-Central U.S.A.",7,"NORTHERN AMERICA"
"WSA","Western Sahara",20,"Northern Africa",2,"AFRICA"
"WSB","West Siberia",30,"Siberia",3,"ASIA-TEMPERATE"
"WVA","West Virginia",75,"Northeastern U.S.A.",7,"NORTHERN AMERICA"
"WYO","Wyoming",73,"Northwestern U.S.A.",7,"NORTHERN AMERICA"
"XMS","Christmas I.",42,"Malesia",4,"ASIA-TROPICAL"
"YAK","Yakutskiya",30,"Siberia",3,"ASIA-TEMPERATE"
"YEM","Yemen",35,"Arabian Peninsula",3,"ASIA-TEMPERATE"
"YUG","Yugoslavia",13,"Southeastern Europe",1,"EUROPE"
"YUK","Yukon",70,"Subarctic America",7,"NORTHERN AMERICA"
"ZAI","Zaïre",23,"West-Central Tropical Africa",2,"AFRICA"
"ZAM","Zambia",26,"South Tropical Africa",2,"AFRICA"
"ZIM","Zimbabwe",26,"South Tropical Africa",2,"AFRICA"
